Thu 22 Dec 2022 05:35:08 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.9.0
Python 3.8.11
Vit is used
[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.001, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='Freeze_extractor', model_name='vit', n=50, n_tasks=10, n_worker=0, note='[Freeze_extractor]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='sgd', reg_coef=100, rnd_seed=1, sched_name='cos', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (Freeze_extractor)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] Freeze_extractor.py:209 > Train | Sample # 600 | train_loss 0.6520 | train_acc 0.8385 | lr 0.000137 | running_time 0:01:35 | ETA 2:10:58
[INFO] Freeze_extractor.py:219 > Test | Sample # 600 | test_loss 2.1548 | test_acc 0.4896 | 
[INFO] Freeze_extractor.py:209 > Train | Sample # 608 | train_loss 0.8897 | train_acc 0.7318 | lr 0.000113 | running_time 0:01:46 | ETA 2:24:44
[INFO] Freeze_extractor.py:209 > Train | Sample # 616 | train_loss 0.8368 | train_acc 0.7995 | lr 0.000090 | running_time 0:01:47 | ETA 2:23:52
[INFO] Freeze_extractor.py:209 > Train | Sample # 624 | train_loss 1.0911 | train_acc 0.6667 | lr 0.000070 | running_time 0:01:48 | ETA 2:23:01
[INFO] Freeze_extractor.py:209 > Train | Sample # 632 | train_loss 1.5450 | train_acc 0.6016 | lr 0.000053 | running_time 0:01:49 | ETA 2:22:11
[INFO] Freeze_extractor.py:209 > Train | Sample # 640 | train_loss 1.7753 | train_acc 0.6406 | lr 0.000037 | running_time 0:01:49 | ETA 2:21:22
[INFO] Freeze_extractor.py:209 > Train | Sample # 648 | train_loss 1.0689 | train_acc 0.6849 | lr 0.000025 | running_time 0:01:50 | ETA 2:20:35
[INFO] Freeze_extractor.py:209 > Train | Sample # 656 | train_loss 1.1580 | train_acc 0.7318 | lr 0.000015 | running_time 0:01:51 | ETA 2:19:50
[INFO] Freeze_extractor.py:209 > Train | Sample # 664 | train_loss 0.9486 | train_acc 0.7656 | lr 0.000007 | running_time 0:01:52 | ETA 2:19:04
[INFO] Freeze_extractor.py:209 > Train | Sample # 672 | train_loss 1.2334 | train_acc 0.7005 | lr 0.000002 | running_time 0:01:53 | ETA 2:18:21
[INFO] Freeze_extractor.py:209 > Train | Sample # 680 | train_loss 0.9532 | train_acc 0.7344 | lr 0.000000 | running_time 0:01:53 | ETA 2:17:37
[INFO] Freeze_extractor.py:209 > Train | Sample # 688 | train_loss 1.3511 | train_acc 0.6562 | lr 0.001000 | running_time 0:01:54 | ETA 2:16:54
[INFO] Freeze_extractor.py:209 > Train | Sample # 696 | train_loss 1.3401 | train_acc 0.6719 | lr 0.000999 | running_time 0:01:55 | ETA 2:16:13
[INFO] Freeze_extractor.py:219 > Test | Sample # 700 | test_loss 2.2241 | test_acc 0.4733 | 
[INFO] Freeze_extractor.py:209 > Train | Sample # 704 | train_loss 1.0999 | train_acc 0.7161 | lr 0.000998 | running_time 0:02:07 | ETA 2:28:57
[INFO] Freeze_extractor.py:209 > Train | Sample # 712 | train_loss 1.2331 | train_acc 0.6771 | lr 0.000995 | running_time 0:02:08 | ETA 2:28:07
[INFO] Freeze_extractor.py:209 > Train | Sample # 720 | train_loss 0.9907 | train_acc 0.7526 | lr 0.000993 | running_time 0:02:09 | ETA 2:27:20
[INFO] Freeze_extractor.py:209 > Train | Sample # 728 | train_loss 1.0767 | train_acc 0.7370 | lr 0.000989 | running_time 0:02:09 | ETA 2:26:33
[INFO] Freeze_extractor.py:209 > Train | Sample # 736 | train_loss 1.1485 | train_acc 0.7448 | lr 0.000985 | running_time 0:02:10 | ETA 2:25:48
[INFO] Freeze_extractor.py:209 > Train | Sample # 744 | train_loss 1.2705 | train_acc 0.6719 | lr 0.000980 | running_time 0:02:11 | ETA 2:25:03
[INFO] Freeze_extractor.py:209 > Train | Sample # 752 | train_loss 1.1778 | train_acc 0.7318 | lr 0.000975 | running_time 0:02:12 | ETA 2:24:19
[INFO] Freeze_extractor.py:209 > Train | Sample # 760 | train_loss 1.0624 | train_acc 0.7161 | lr 0.000968 | running_time 0:02:13 | ETA 2:23:38
[INFO] Freeze_extractor.py:209 > Train | Sample # 768 | train_loss 1.1344 | train_acc 0.7448 | lr 0.000962 | running_time 0:02:13 | ETA 2:22:55
[INFO] Freeze_extractor.py:209 > Train | Sample # 776 | train_loss 1.0789 | train_acc 0.7188 | lr 0.000954 | running_time 0:02:14 | ETA 2:22:15
[INFO] Freeze_extractor.py:209 > Train | Sample # 784 | train_loss 0.8782 | train_acc 0.7708 | lr 0.000946 | running_time 0:02:15 | ETA 2:21:34
[INFO] Freeze_extractor.py:209 > Train | Sample # 792 | train_loss 0.9496 | train_acc 0.7578 | lr 0.000938 | running_time 0:02:16 | ETA 2:20:55
[INFO] Freeze_extractor.py:209 > Train | Sample # 800 | train_loss 1.2462 | train_acc 0.7526 | lr 0.000928 | running_time 0:02:16 | ETA 2:20:16
[INFO] Freeze_extractor.py:219 > Test | Sample # 800 | test_loss 2.4875 | test_acc 0.4279 | 
[INFO] Freeze_extractor.py:209 > Train | Sample # 808 | train_loss 0.7653 | train_acc 0.8307 | lr 0.000919 | running_time 0:02:30 | ETA 2:32:26
[INFO] Freeze_extractor.py:209 > Train | Sample # 816 | train_loss 0.7077 | train_acc 0.8307 | lr 0.000908 | running_time 0:02:31 | ETA 2:31:43
[INFO] Freeze_extractor.py:209 > Train | Sample # 824 | train_loss 0.9695 | train_acc 0.7604 | lr 0.000897 | running_time 0:02:31 | ETA 2:30:58
[INFO] Freeze_extractor.py:209 > Train | Sample # 832 | train_loss 1.1276 | train_acc 0.7161 | lr 0.000886 | running_time 0:02:32 | ETA 2:30:15
[INFO] Freeze_extractor.py:209 > Train | Sample # 840 | train_loss 1.1271 | train_acc 0.7474 | lr 0.000874 | running_time 0:02:33 | ETA 2:29:34
[INFO] Freeze_extractor.py:209 > Train | Sample # 848 | train_loss 1.3138 | train_acc 0.6667 | lr 0.000862 | running_time 0:02:34 | ETA 2:28:52
[INFO] Freeze_extractor.py:209 > Train | Sample # 856 | train_loss 1.5833 | train_acc 0.6172 | lr 0.000849 | running_time 0:02:34 | ETA 2:28:12
[INFO] Freeze_extractor.py:209 > Train | Sample # 864 | train_loss 1.0046 | train_acc 0.7578 | lr 0.000835 | running_time 0:02:35 | ETA 2:27:31
[INFO] Freeze_extractor.py:209 > Train | Sample # 872 | train_loss 1.4350 | train_acc 0.6458 | lr 0.000821 | running_time 0:02:36 | ETA 2:26:52
[INFO] Freeze_extractor.py:209 > Train | Sample # 880 | train_loss 0.9806 | train_acc 0.7292 | lr 0.000807 | running_time 0:02:37 | ETA 2:26:14
[INFO] Freeze_extractor.py:209 > Train | Sample # 888 | train_loss 0.9443 | train_acc 0.7760 | lr 0.000792 | running_time 0:02:37 | ETA 2:25:36
[INFO] Freeze_extractor.py:209 > Train | Sample # 896 | train_loss 0.9970 | train_acc 0.7708 | lr 0.000777 | running_time 0:02:38 | ETA 2:24:58
