Thu 22 Dec 2022 06:13:50 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.11.0
Python 3.10.8
[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='sgd', sched_name='cos', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir='/local_datasets/puridiver/cifar100', debug=False, note='[L2P]_iblurry_cifar100_3epoch', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:342 > Train | Sample # 696 | train_loss 22.4847 | train_acc 0.6510 | lr 0.030000 | running_time 0:04:09 | ETA 4:54:57
[INFO] L2P.py:352 > Test | Sample # 700 | test_loss 906.3365 | test_acc 0.5127 | 
[INFO] L2P.py:342 > Train | Sample # 704 | train_loss 23.5552 | train_acc 0.7370 | lr 0.030000 | running_time 0:04:33 | ETA 5:18:56
[INFO] L2P.py:342 > Train | Sample # 712 | train_loss 24.5139 | train_acc 0.6953 | lr 0.030000 | running_time 0:04:35 | ETA 5:17:25
[INFO] L2P.py:342 > Train | Sample # 720 | train_loss 23.2627 | train_acc 0.7448 | lr 0.030000 | running_time 0:04:36 | ETA 5:15:55
[INFO] L2P.py:342 > Train | Sample # 728 | train_loss 23.5042 | train_acc 0.7917 | lr 0.030000 | running_time 0:04:38 | ETA 5:14:27
[INFO] L2P.py:342 > Train | Sample # 736 | train_loss 22.8454 | train_acc 0.7812 | lr 0.030000 | running_time 0:04:40 | ETA 5:13:01
[INFO] L2P.py:342 > Train | Sample # 744 | train_loss 23.2071 | train_acc 0.6927 | lr 0.030000 | running_time 0:04:42 | ETA 5:11:37
[INFO] L2P.py:342 > Train | Sample # 752 | train_loss 23.3106 | train_acc 0.7422 | lr 0.030000 | running_time 0:04:44 | ETA 5:10:14
[INFO] L2P.py:342 > Train | Sample # 760 | train_loss 23.7130 | train_acc 0.7240 | lr 0.030000 | running_time 0:04:46 | ETA 5:08:54
[INFO] L2P.py:342 > Train | Sample # 768 | train_loss 22.8828 | train_acc 0.7786 | lr 0.030000 | running_time 0:04:47 | ETA 5:07:35
[INFO] L2P.py:342 > Train | Sample # 776 | train_loss 23.0798 | train_acc 0.7396 | lr 0.030000 | running_time 0:04:49 | ETA 5:06:18
[INFO] L2P.py:342 > Train | Sample # 784 | train_loss 22.9885 | train_acc 0.7474 | lr 0.030000 | running_time 0:04:51 | ETA 5:05:02
[INFO] L2P.py:342 > Train | Sample # 792 | train_loss 23.8572 | train_acc 0.7161 | lr 0.030000 | running_time 0:04:53 | ETA 5:03:48
[INFO] L2P.py:342 > Train | Sample # 800 | train_loss 23.1268 | train_acc 0.7526 | lr 0.030000 | running_time 0:04:55 | ETA 5:02:35
[INFO] L2P.py:352 > Test | Sample # 800 | test_loss 862.9868 | test_acc 0.4715 | 
[INFO] L2P.py:342 > Train | Sample # 808 | train_loss 23.2184 | train_acc 0.8307 | lr 0.030000 | running_time 0:05:20 | ETA 5:25:29
[INFO] L2P.py:342 > Train | Sample # 816 | train_loss 22.9687 | train_acc 0.7969 | lr 0.030000 | running_time 0:05:22 | ETA 5:24:04
[INFO] L2P.py:342 > Train | Sample # 824 | train_loss 21.9865 | train_acc 0.7734 | lr 0.030000 | running_time 0:05:24 | ETA 5:22:41
[INFO] L2P.py:342 > Train | Sample # 832 | train_loss 22.9188 | train_acc 0.6771 | lr 0.030000 | running_time 0:05:26 | ETA 5:21:20
[INFO] L2P.py:342 > Train | Sample # 840 | train_loss 23.8433 | train_acc 0.7422 | lr 0.030000 | running_time 0:05:28 | ETA 5:20:00
[INFO] L2P.py:342 > Train | Sample # 848 | train_loss 22.6009 | train_acc 0.6823 | lr 0.030000 | running_time 0:05:29 | ETA 5:18:41
[INFO] L2P.py:342 > Train | Sample # 856 | train_loss 23.5647 | train_acc 0.6484 | lr 0.030000 | running_time 0:05:31 | ETA 5:17:25
[INFO] L2P.py:342 > Train | Sample # 864 | train_loss 23.4616 | train_acc 0.7578 | lr 0.030000 | running_time 0:05:33 | ETA 5:16:08
[INFO] L2P.py:342 > Train | Sample # 872 | train_loss 22.6936 | train_acc 0.6875 | lr 0.030000 | running_time 0:05:35 | ETA 5:14:54
[INFO] L2P.py:342 > Train | Sample # 880 | train_loss 23.1450 | train_acc 0.7578 | lr 0.030000 | running_time 0:05:37 | ETA 5:13:40
[INFO] L2P.py:342 > Train | Sample # 888 | train_loss 23.8018 | train_acc 0.7734 | lr 0.030000 | running_time 0:05:39 | ETA 5:12:28
[INFO] L2P.py:342 > Train | Sample # 896 | train_loss 22.7527 | train_acc 0.7578 | lr 0.030000 | running_time 0:05:40 | ETA 5:11:18
[INFO] L2P.py:352 > Test | Sample # 900 | test_loss 817.1932 | test_acc 0.4106 | 
[INFO] L2P.py:342 > Train | Sample # 904 | train_loss 22.5480 | train_acc 0.8021 | lr 0.030000 | running_time 0:06:08 | ETA 5:33:35
[INFO] L2P.py:342 > Train | Sample # 912 | train_loss 22.8869 | train_acc 0.6953 | lr 0.030000 | running_time 0:06:10 | ETA 5:32:15
[INFO] L2P.py:342 > Train | Sample # 920 | train_loss 22.4837 | train_acc 0.7865 | lr 0.030000 | running_time 0:06:12 | ETA 5:30:56
[INFO] L2P.py:342 > Train | Sample # 928 | train_loss 21.8585 | train_acc 0.6823 | lr 0.030000 | running_time 0:06:14 | ETA 5:29:38
[INFO] L2P.py:342 > Train | Sample # 936 | train_loss 21.7829 | train_acc 0.7240 | lr 0.030000 | running_time 0:06:15 | ETA 5:28:22
[INFO] L2P.py:342 > Train | Sample # 944 | train_loss 22.9042 | train_acc 0.7760 | lr 0.030000 | running_time 0:06:17 | ETA 5:27:07
[INFO] L2P.py:342 > Train | Sample # 952 | train_loss 24.4831 | train_acc 0.7292 | lr 0.030000 | running_time 0:06:19 | ETA 5:25:53
[INFO] L2P.py:342 > Train | Sample # 960 | train_loss 22.8419 | train_acc 0.7995 | lr 0.030000 | running_time 0:06:21 | ETA 5:24:42
[INFO] L2P.py:342 > Train | Sample # 968 | train_loss 23.3771 | train_acc 0.7318 | lr 0.030000 | running_time 0:06:23 | ETA 5:23:31
